# agent_id,timestep,x,y,heading  (0=E 1=N 2=W 3=S)
0,0,2,49,3
0,1,2,48,3
0,2,2,47,3
0,3,2,46,3
0,4,3,46,0
0,5,4,46,0
0,6,5,46,0
0,7,6,46,0
0,8,6,45,3
0,9,6,44,3
0,10,7,44,0
0,11,8,44,0
0,12,9,44,0
0,13,10,44,0
0,14,11,44,0
0,15,11,43,3
0,16,11,42,3
0,17,12,42,0
0,18,13,42,0
0,19,14,42,0
0,20,15,42,0
0,21,15,41,3
0,22,15,40,3
0,23,16,40,0
0,24,17,40,0
0,25,18,40,0
0,26,18,39,3
0,27,18,38,3
0,28,18,37,3
0,29,18,36,3
0,30,19,36,0
0,31,20,36,0
0,32,21,36,0
0,33,22,36,0
0,34,23,36,0
0,35,23,35,3
0,36,23,34,3
0,37,24,34,0
0,38,25,34,0
0,39,26,34,0
0,40,26,33,3
0,41,26,32,3
0,42,26,31,3
0,43,26,30,3
0,44,26,29,3
0,45,26,28,3
0,46,26,27,3
0,47,26,26,3
0,48,26,25,3
0,49,26,24,3
0,50,26,23,3
0,51,26,22,3
0,52,26,21,3
0,53,26,20,3
0,54,26,19,3
0,55,26,18,3
0,56,27,18,0
0,57,28,18,0
0,58,29,18,0
0,59,30,18,0
0,60,31,18,0
0,61,32,18,0
0,62,33,18,0
0,63,34,18,0
0,64,35,18,0
0,65,36,18,0
0,66,37,18,0
0,67,38,18,0
0,68,39,18,0
0,69,39,19,1
1,0,3,49,3
1,1,3,48,3
1,2,3,47,3
1,3,3,46,3
1,4,4,46,0
1,5,5,46,0
1,6,6,46,0
1,7,6,45,3
1,8,6,44,3
1,9,7,44,0
1,10,8,44,0
1,11,8,43,3
1,12,8,42,3
1,13,8,41,3
1,14,9,41,0
1,15,10,41,0
1,16,10,40,3
1,17,10,39,3
1,18,10,38,3
1,19,10,37,3
1,20,10,36,3
1,21,10,35,3
1,22,11,35,0
1,23,12,35,0
1,24,13,35,0
1,25,13,34,3
1,26,13,33,3
1,27,14,33,0
1,28,15,33,0
1,29,16,33,0
1,30,17,33,0
1,31,18,33,0
1,32,19,33,0
1,33,20,33,0
1,34,21,33,0
1,35,21,32,3
1,36,21,31,3
1,37,21,30,3
1,38,21,29,3
1,39,21,28,3
1,40,21,27,3
1,41,21,26,3
1,42,21,25,3
1,43,21,24,3
1,44,21,23,3
1,45,21,22,3
1,46,21,21,3
1,47,21,20,3
1,48,21,19,3
1,49,21,18,3
1,50,21,17,3
1,51,22,17,0
1,52,23,17,0
1,53,24,17,0
1,54,25,17,0
1,55,26,17,0
1,56,26,16,3
1,57,26,15,3
1,58,26,14,3
1,59,26,13,3
1,60,26,12,3
1,61,26,11,3
1,62,26,10,3
1,63,26,9,3
1,64,26,8,3
1,65,26,7,3
1,66,26,6,3
1,67,26,5,3
1,68,26,4,3
1,69,26,3,3
1,70,27,3,0
1,71,28,3,0
1,72,29,3,0
1,73,30,3,0
1,74,31,3,0
1,75,32,3,0
1,76,33,3,0
1,77,34,3,0
1,78,35,3,0
1,79,36,3,0
1,80,37,3,0
1,81,38,3,0
1,82,39,3,0
1,83,40,3,0
1,84,41,3,0
1,85,42,3,0
1,86,42,4,1
2,0,4,49,3
2,1,4,48,3
2,2,4,47,3
2,3,4,46,3
2,4,4,45,3
2,5,4,44,3
2,6,5,44,0
2,7,6,44,0
2,8,7,44,0
2,9,8,44,0
2,10,9,44,0
2,11,9,43,3
2,12,9,42,3
2,13,10,42,0
2,14,11,42,0
2,15,11,41,3
2,16,11,40,3
2,17,12,40,0
2,18,13,40,0
2,19,13,39,3
2,20,13,38,3
2,21,14,38,0
2,22,15,38,0
2,23,16,38,0
2,24,17,38,0
2,25,17,37,3
2,26,17,36,3
2,27,17,35,3
2,28,18,35,0
2,29,19,35,0
2,30,20,35,0
2,31,21,35,0
2,32,22,35,0
2,33,23,35,0
2,34,24,35,0
2,35,25,35,0
2,36,26,35,0
2,37,27,35,0
2,38,27,34,3
2,39,27,33,3
2,40,27,32,3
2,41,27,31,3
2,42,27,30,3
2,43,27,29,3
2,44,27,28,3
2,45,27,27,3
2,46,27,26,3
2,47,27,25,3
2,48,27,24,3
2,49,27,23,3
2,50,27,22,3
2,51,27,21,3
2,52,27,20,3
2,53,27,19,3
2,54,27,18,3
2,55,28,18,0
2,56,29,18,0
2,57,30,18,0
2,58,31,18,0
2,59,31,19,1
3,0,5,49,3
3,1,5,48,3
3,2,5,47,3
3,3,5,46,3
3,4,5,45,3
3,5,5,44,3
3,6,5,43,3
3,7,6,43,0
3,8,7,43,0
3,9,8,43,0
3,10,9,43,0
3,11,10,43,0
3,12,11,43,0
3,13,12,43,0
3,14,13,43,0
3,15,13,42,3
3,16,13,41,3
3,17,14,41,0
3,18,15,41,0
3,19,16,41,0
3,20,16,40,3
3,21,16,39,3
3,22,17,39,0
3,23,18,39,0
3,24,19,39,0
3,25,19,38,3
3,26,19,37,3
3,27,19,36,3
3,28,19,35,3
3,29,20,35,0
3,30,21,35,0
3,31,21,34,3
3,32,21,33,3
3,33,21,32,3
3,34,21,31,3
3,35,21,30,3
3,36,21,29,3
3,37,21,28,3
3,38,21,27,3
3,39,21,26,3
3,40,21,25,3
3,41,21,24,3
3,42,21,23,3
3,43,21,22,3
3,44,21,21,3
3,45,21,20,3
3,46,21,19,3
3,47,21,18,3
3,48,21,17,3
3,49,22,17,0
3,50,23,17,0
3,51,24,17,0
3,52,25,17,0
3,53,26,17,0
3,54,27,17,0
3,55,27,16,3
3,56,27,15,3
3,57,27,14,3
3,58,27,13,3
3,59,28,13,0
3,60,29,13,0
3,61,30,13,0
3,62,31,13,0
3,63,32,13,0
